"title","tokens","n","total","tf","idf","tf_idf"
"IT Director","management",12,963,0.0124610591900312,0.547311166114104,0.00682007683631283
"IT Project Manager","management",12,757,0.0158520475561427,0.547311166114104,0.00867600263324868
"Junior Accountant","management",12,1483,0.00809170600134862,0.547311166114104,0.00442868104745061
"Lead Teacher","lead",12,558,0.021505376344086,1.58216498828802,0.0340250535115703
"Maintenance Technician","manager",12,4780,0.00251046025104603,1.05749719919632,0.00265480468417485
"Manager in Training","manager",12,1457,0.00823610157858614,1.05749719919632,0.00870965435165119
"Manager, Project & Logistics-400656","management",12,505,0.0237623762376238,0.547311166114104,0.0130054138482559
"Materials Manager","management",12,1313,0.00913937547600914,0.547311166114104,0.00500208224932921
"Office Assistant","management",12,2438,0.00492206726825267,0.547311166114104,0.00269390237627943
"Operations - Business Architecture & Change Management - Change Delivery - Associate - Dallas","management",12,811,0.0147965474722565,0.547311166114104,0.00809831565150339
"Payments Manager","management",12,481,0.0249480249480249,0.547311166114104,0.0136543326265473
"Portfolio Manager","management",12,1267,0.00947119179163378,0.547311166114104,0.00518368902396942
"Production Manager","leadership",12,5614,0.0021375133594585,1.49578409994796,0.00319725849650437
"Program Supervisor","supervisor",12,1076,0.0111524163568773,2.01390418576636,0.0224598979825245
"Project Manager","power",12,24995,0.000480096019203841,2.14814892998457,0.00103131774994258
"Receptionist","management",12,3439,0.00348938644954929,0.547311166114104,0.00190978016672558
"Restaurant Manager","leadership",12,5236,0.00229182582123759,1.49578409994796,0.00342807662325736
"Retail Store Manager in Training","manager",12,862,0.0139211136890951,1.05749719919632,0.0147215387359116
"Secondary Marketing Manager","management",12,822,0.0145985401459854,0.547311166114104,0.00798994403086284
"Senior IT & Records Consultant","management",12,355,0.0338028169014084,0.547311166114104,0.0185006591362514
"Shift Lead","lead",12,4182,0.00286944045911047,1.58216498828802,0.00453992823038169
"Shift Supervisor","supervisor",12,3736,0.00321199143468951,2.01390418576636,0.00646864299496691
"Talent Management Senior Consultant","management",12,351,0.0341880341880342,0.547311166114104,0.0187114928586019
"Warehouse Supervisor","manager",12,8098,0.00148184736972092,1.05749719919632,0.0015670494431163
"American Eagle Outfitters - Store Manager","management",11,780,0.0141025641025641,0.547311166114104,0.00771849080417327
"Analyst III","management",11,968,0.0113636363636364,0.547311166114104,0.00621944506947846
"Assistant Branch Manager","management",11,3781,0.00290928325839725,0.547311166114104,0.00159228321270964
"Assistant General Manager","leadership",11,5716,0.00192442267319804,1.49578409994796,0.00287852083614898
"Assistant Manager","leader",11,13661,0.000805211917136374,2.14624778872754,0.00172818429661101
"Assistant Rig Manager","manager",11,671,0.0163934426229508,1.05749719919632,0.017336019658956
"Branch Manager","leadership",11,8910,0.00123456790123457,1.49578409994796,0.00184664703697279
"Business Analyst - Project Manager Journeyman","management",11,302,0.0364238410596026,0.547311166114104,0.0199351749246859
"Category Manager","manage",11,1750,0.00628571428571429,1.32034111832166,0.0082992870294504
"Community Manager [willow Grove]","management",11,1063,0.0103480714957667,0.547311166114104,0.0056636150773802
"Contracts Administrator","management",11,1138,0.00966608084358524,0.547311166114104,0.00529035397825584
"Contracts Manager","manager",11,2071,0.00531144374698213,1.05749719919632,0.00561683688612239
"Contracts Manager","power",11,2071,0.00531144374698213,2.14814892998457,0.0114097722017529
"Development Manager","manager",11,1827,0.0060207991242474,1.05749719919632,0.00636697821081525
